Comments,Sentiment
ඒ build එක පට්ට ,Pos
මෙයා අර hiru star එකට ආපු කෙනා නේද ,Neu
හොයා හොයා හිටියේ ,Pos
phone ගැන කියුවා හරිටම හරි ,Pos
අනේ දෙයියනේ ලංකාවට වෙච්ච දෙයක් ,Neu
හොඳ දැක්මක් සහිත ආතල් පොරක් ජයවේවා මිතුරයා ,Pos
උබ හොඳ තමයි කිව්වා ,Pos
මේකනම් පිස්සුවක් බං අර්ජුන රනිල් හිරන් සහ නංගි wow මාර පවුලක් ,Pos
අනේ හොඳයි මේ වගේ අයට තැන දෙන එක අපි ගොඩක් කැමති god bless අක්කේ ,Pos
පුදුම වැදගත් කතාවක් ,Pos
ඇත්තම කිව්වොත් මං video එක බැලුවේ නෑ ඇහුවා විතරයි එලම ,Pos
කොල්ලාව band එකකට නියමෙට match වෙනවා ,Pos
school එකේ meeting එකේ මුලින්ම සින්දුවක් කිව්වා ඒවන් ඉන්නවද ,Neu
භූමිගේ number එක නැද්ද ,Neu
contact කරගන්න ඕනි ,Neu
පව් අනේ හරි අහිංසකයි ,Pos
ගෝටා කෙරි අමිලයා ,Neg
මේකේ අයට උබලට ඕන හුත්තවල් කරන්න බෑ වැඩිය දගලුවොත් උන්ට වෙන දේ උන් දන්නේත් නෑ හැමෝම සිංහලයට සහයෝගයෙන් ඉන්න ,Neg
දැන් උබ තරුණ උබට ඡන්දේ නෑ නාකියෝ තමන්ගේ ආගමට ආදරේ නැති එක මොන රටට ආදරයක්ද ,Neg
අක්කගේ කතාව අහන්න ඉන්න තරම් මාරයි අක්කි ,Pos
ඔයා ඔයෙ ඉවසීල්ලෙන් ඉන්නේ නියමයි ,Pos
මාරයි මං මේ ladyව දැකලා නෑ නමුත් මං කාලෙකින් දැක්ක හොඳම interview එක මං මේක මගේ දුවලටත් send කළා සුභ පැතුම් දෙන්නට මේයට ගැලපෙන නම සත්‍ය ,Pos
අද දවසේ සුපිරිම performance එක මට නම් ,Pos
chanux bro නම save කරලා තිබ්බෙත් වස්ති තඩියා කියලා ,Neu
කියවනවා වැඩි අනේ වල් වතුරම් ,Neg
අඩෝ ශෂිකා ඔයා මේවා දන්නේ කොහොමද ,Pos
admin හොඳ වෙලාවනේ ,Pos
දිරිය ශක්තිය තියෙනවා නම් තනියෙන් ජීවිතයට මුහුණ දෙන්න පුළුවන් අක්කේ ඔයාගේ වගකීම දුවට එහෙම නොවෙන්න ජීවිතේ කියලා දෙන ගමන් ජීවත් වෙන්න අක්කේ ,Pos
කොහොමද මේක අමතක කරන්නේ ,Neu
අපේ හමුදුරුවනේ ඒ නිළිය කොහොමත් මොංගල් නේද ඔබ වහන්සේට බුදු සරණයි ,Neu
කසුන්ගේ team එකේ කට්ටිය මදි නේ ,Neg
අනේ පකෝ කො තොගේ rocket එක ,Neg
කුඩු මේමද ගන්න කුඩු මේ පැත්තද ,Neu
තැනකොන් ආදර්ශමත් මවක් ඒ වගේම ආදර්ශමත් කාන්තාවක් ,Pos
මදු මදාව බදු මදාව උ කරපු පව් ලඟදීම ගෙවනවා ,Neg
ලොකු දෙයක් කළා ලහිරු අයියේ තඩියාව තනියෙන් ගෙනලා පට්ට චරිතේ තඩියා ඇති ඔහොම හරි කතා කළා හොරුව තිබ්බනම් මරු good luck අනූෂකයා හිනා වෙන්න ඇති තනියෙන් ,Pos
හරිම ආස චරිතයක් මෙතරම් උගත් බුද්ධිමත් කෙනෙක් කියලා අදයි දැනගත්තේ හරිම සතුටුයි මෙතක ඉඳන් බලන්න ගත්තේ මේ වැඩසටහන good job පුළුවන් නම් යුරේනිව ගෙනන්න ,Pos
හරිම ලස්සනයි ලහිරු කොයි තරම් වටින අදහස්ද අපේ සිංහලයන්ට ආදර්ශයක් ,Pos
ඇත්තමයි ඇගේ හිරිගඩු පිපුනා superb ,Pos
මේ පාර ජනාධිපතිවරණයට බොදුබල සේනාවෙන් එක නායකයෙක් ගෙනන්න ,Pos
වාව් උඹ පට්ට බ්‍රෝ ,Pos
කසුන් අවුලාවි අවුලාවිමයි ඉන්නේ දැන් ,Neu
නියමයි තඩියෝ thanks ,Pos
ඔයා වගේ පාලකයෙක් මේ රට පාලනය කරනම් ,Pos
අයියා මේක අයියට පෙන්නන්න ජීවිතේට scientists කෙනෙක් ගෙනවත් අහුවේ නැ ,Pos
හරිම සතුටුයි අද ඔයා ඉන්න තැන දැක්කම ,Pos
coachලා උබලා අපිට පව් පුරවන්න නම් ලැස්ති වෙන්න එපා ,Neg
හරි කෙනාව තෝරා ගත්තා good luck bro ,Pos
ගෙරි තම්බි ඔක්කොම මරන්න ඕනි ,Neg
තද bro ඔන්න ඔහොම තමයි ඉන්න ඕන ,Pos
මේක නම් අපිට හොඳා ,Pos
අනේ අපේ රටට වනා දාවල් නෙද කතාකරන්න ,Neg
සිරාවටම හිතට දැනෙනවා ආ ,Pos
බලන්න මයාගා හැඩියාව පට්ට ,Neg
කටහඬ නම් හොඳට හුරුයි ,Neu
යකෝ කොර වෙන්න දෙන්නවා ,Pos
මේ තරම් ලස්සන කටහඬ කාටවත් හරෙන්න නෑනේ ,Neu
වෙන නමක් තිබුණේම නැද්ද අප්පා ,Neu
ලංකාවේ නමක් හදාගන්න පුළුවන් voice එකක් ,Pos
රටේ සෙබා වෙනසක් වෙන්න ඕනි ,Neu
නොදකින් video එකක් හදාගන්න බැ ,Neg
යකෝ අය යකෝ කොණ්ඩේ කපුවේලා එල ,Pos
ඔයා නම් නියමයි ඔයාට සුපිරි අවබෝධයක් තියෙනවා ,Pos
රොහිතට හොඳ බුද්ධියක් තියෙනවා ,Pos
උඹ නියම මනුස්සයෙක් අයියේ ,Pos
ඔයාට ආදරේ හිතනවා මගෙ මනික ,Pos
යන්නේ කොහෙද මල්ලේ පොල් ,Neg
ඔබතුමා කතා කරන හැම වචනයක්ම අපට රත්තරන් වටිනවා ,Pos
අමුතු ජීවිත කතාවක් ගොඩක් දේවල් ඉගෙන ගන්න තියෙනවා ,Pos
Hiru Star ආපු ඉසුරිකා ද මේ ,Neu
ලහිරු අයියේ මේකට ශිහාන් මිහිරංග ගෙනාවොත් හොඳයි ,Pos
ඔයා නම් ගිනි ගොඩක් නංගියෝ ,Pos
හිතට වදින සිංදු මෙන්න මෙවනි ,Pos
කසුන් sirට අම්මාව මතක් වෙන්න ඇති ,Neu
අරවින්ද අයියා දැකීම සතුටක් ,Pos
අද නම් ගොඩක් සතුටුයි කියාගන්න බැ ,Pos
සුපිරි act එක ජයවේවා ,Pos
මම රාජපක්ෂ පවුලට පන උනත් දෙන්න ඉන්නවා ,Pos
Dream Star කේශාන් ශෂින්ද්‍ර වගේ ,Pos
මං ආසම පට්ට වැඩ්ඩක් ,Pos
ඊළඟට රත්තරං ගෙනන්න කියන අය කො ,Neu
අදේ ඉනුක මල්ලි වමෙන් ගහන්නේ ඇයි ,Neg
ඔකට ඔහොම කරලා මඩේ රජකලා වැඩේට දඩුකඩ ගහන්න ඕන ,Neg
තොපි කතා කරන්නේ ලංකාවේ පිස්සෝ ගැනද ,Neg
අපරාදෙ සිංදුව ලස්සනයි video එක නම් ගන්න දෙයක් නෑ ,Neu
මෙකට පිස්සුද සිංහල වචන කනවා ,Neg
වෙන්න බැහැ ශ්‍රී ලාංකිකයන්ගේ රට ,Pos
මමත් ඔයාගේ video ගොඩක් බැලුවා ,Pos
අයියේ අපි ඕන දෙකට ඉන්නවා ඔයාලා එක්ක ,Pos
අයි මේ වගේ ජරා ගෑණියක් එක්ක වැඩ කරන්නේ ,Neg
පිස්සු හැදුන එක හදට wow ,Pos
දැන් රට බාරගන්න කෙනෙක් නැ වගේ ,Neu
අනේ පැත්තී පැත්තී තියෙනම ගනීම් ,Neg
ඇත්තටම ජීවිතේ ජයගත් මිනිස්සුන්ගේ අත්දැකීම් තියෙනවා ,Neu
නියම දැක්මක් තියේ වගේ ,Pos
මම කැමතිම කෙනෙක් ,Pos
congrats බංචි අයියා ලස්සනයි ,Pos
ප්‍රියදර්ශන අයියාට වඩා හොඳට aim build හදනවා ,Neu
good luck නිරෝධා අක්කේ ,Pos
හිත හයිය ගැහැණියක් ඔබ බුදුසරණයි ,Pos
ලස්සනට කතා කරනවා ඔබට දිගායුස ,Pos
වැදගත් කතාවක් මෙකෙන් ගොඩක් දේවල් ගත්ත ,Pos
coach කසුන්ට සුපිරි කොල්ලෙක් හම්බ උනා ,Pos
ඔයා නිසා හුරු එකෙන් සියයට මාරු උනා මිනිස්සු ,Pos
හැමෝම ගොබ්බෙක්ට කඩේ දුවන ගමන් ,Neg
bro උඹ මොනදේ කරත් මේ ගත්ත තීරණය හරි ,Pos
අවංක වැඩි උනාම පිරිමින්ට ඔය වැඩේ වෙනවාමයි ,Pos
මේ මෝඩ channel මොන වැඩ කරේ යකෝ ,Neg
ශෂිකා miss stage එකට එද්දි stage එකට වඳා ,Pos
අයියේ number එක එවන්න ,Pos
හම්මේ ඉතින් පෙඩ්ඩිත් මාර සතුටක් ,Pos
එක මරු අයියේ ,Pos
ලස්සනට සිංහල කතා කරනවා ,Pos
නාගෝ නාගෝ song එක කියන කෙනා වගේමයි ,Neu
මෙතනම් දෙන්නම fail ,Neg
coach ශෂිකට පට්ට අමාරු වෙයි ,Pos
ඇත්ත දේවල් ගොඩක් කිව්වා මේ මනුස්සයා ,Pos
මේ දේශපාලනය කියන්නේ කවදාවත් රටකට වැඩක් නෑ ,Neg
AMD තමයි intel සල්ලි ගසා කනවා ,Neg
metropolitan එකෙන් ගත්තා අය review එකක් දෙන්න පුළුවන්ද ,Neu
මව් ගුණ ගීත අහද්දි ඇස් දෙකට කඳුළු එන්නේ ඇයි ,Neu
ගැහැනියක් නම් මේ වගේ වෙන්න ඕන ,Pos
අනේ ආසම කෙනෙක් ,Pos
අනිත් එකත් දාන්න ඉක්මනට ,Neu
fact එකක් වගේ එකක් ලංකාවේ ,Neu
ඔන්න මගෙන් subs එකක් ,Pos
දෙන්න නියමෙට ගැලපෙනවා බුදුසරණයි ,Pos
අයියේ ඔයාගේ ලැජ්ජා බය නැති උනේ thanks ,Pos
ගොඩක් හොඳ programme එකක් ,Pos
කසුන් කල්හාර අපේ legend ,Pos
අයෙෂ්මා නෙමෙයි නේද මේකේ මුල් ගායනය ,Neu
ගොන් පකයා රටට ආදරේ නැති එකෙක් ,Neg
තව සතියක් ඇතුළත century ගහනවා ,Pos
සිරාවටම කිසි දෙයක් හංගන්නැතුව open කතා කළා respect ,Pos
අයියේ මුල් video එකේ ඉඳන්ම බලනවා ආදරෙයි ,Pos
සිංදුව පට්ටත් video එක නම් වැඩක් නෑ ,Neu
අනේ මන්දා හැබැයි කුමාරි අක්කා අහිංසකයි ,Neu
තව පැයක් තිබ්බත් අහන් ඉන්නවා ,Pos
ඉරාජ් අපි උඹත් එක්ක මැරෙන්නම් ,Pos
පිස්සු වසංගත උඩ දන්නෙ නැතුව ඉන්නවා මෝඩයෝ ,Neg
ලස්සන voice එකක් වෙනස් දෙයක් කරන්න බලන්න ,Neg
අයියේ මේ වගේ songs කරන්න එපා ,Neu
එක නම් පට්ට තම ගාන තමයි අවුල ,Neu
අයියා superb ආදරෙයි නිහතමානිකමට ,Pos
භූමි ඔබ ගොඩක් විවෘතයි ,Pos
මං ආසම song එකක් ඔයා බය වෙලා නේද ,Neu
ගමන වගේද සසර ගමන great ,Pos
video එක ගාලා පෙන්න අප්පා ,Neg
නිදකින් නොදකින් හැදි ගව්වියන් ඔය වැඩේ කළපු උන්ට හොඳකම් වෙන්න එපා පණුවෝ ගාලම් මරියා තු නොදකින් ,Neg
මෙයා hiru star එකටත් ආවා ,Neu
බුදු සරණයි අපේ හමුදුරුවනේ බය නැතුව කතා කරන්න අපේ ගනසාර හමුදුරුවෝ වගේ ඔබ වහන්සේටත් අපි ගොඩක් ආදරෙයි ,Pos
ආදිත්‍ය කියන්නේ කවුද මෙයත් එක්ක බලනකොට මෙයා පට්ට ,Pos
මට ඇදුනා ඒ තරම් ලස්සනට sing කරා දිගු ගමනක් යන්නට ප්‍රාර්ථනා කරනවා ,Pos
දේශනා කළ හැමදේම සිංහල ජාතිවාදියෙක් විදිහට අනුමත කරනවා සංහිඳියාව රකින්න ගිහින් රටේ උන දේවල් හොඳටම ඇති ,Neu
අනේ ඔනෙලි ඔයාට කොච්චර ලස්සනට සින්දු කියන්න පුළුවන්ද ,Pos
යකෝ band එක බලපල්ල කොහොමද එක ,Pos
ඉරාජ්ට රජයෙන් නැති වෙච්ච fb page එක ගන්න support එකක් දෙමු මෙන්න ඇත්ත කතාව ,Neu
cricket වලට නම් කරිම නොන්ඩිය දාම්ම එල එල ,Pos
ඔබව අගය කරනවා ඒත් මේ තිරිසන් මිනිස්සු ඉන්න ලංකාව වගේ රටක ඉන්න එක තමයි මට දුක අපේ ලංකාවේ පිරිමි තමයි වැඩිම තිරිසන් පරිස්සමින් එන්න දෙවි පිහිටයි ,Neu
අපිට කියගන්න බැරි දේවල් ඔබතුමා කිව්වා ,Pos
ශෂිකාගේ voice එක අම්මෝ මාරම ලස්සනයි ,Pos
සිංහල නම් vehicle petrol නැතුව පොල්තෙල් තගන්න එයි එක muslim රටවල් වලින් ගන්න ,Neg
මෙකි saudi arabියේ හොඳ gangbang එකක් ගත්තා සුපිරි price එකකට තම්බිලාට කියලා දැන් ඒ සල්ලි වලින් saloon එකක් open කළා පව් ඉතින් දුව ,Neg
රංජගේ කටයි අශේන්ගේ වචාලකමයි දැන් ඉතින් ගතිය ගියා ඔක්කොටම කිව්වේ කට පරිස්සම් කියලා කෙනෙක්ව රිදවා කෙනෙක් ලබන ජයග්‍රහණය පරාජයක් කියලා දැන් තේරෙනවද ,Neg
මට වඩා පුටුව sure ද coach කසුන් ,Neu
අනේ මේ අම්මනම් හොඳට දුක අදින අම්මා කෙනෙක් බුදු සරණයි ,Pos
බුදු සරණයි ඔබ වහන්සේට ,Pos
පන්සල් වලට දුන්න සල්ලි block කරලා අපේ පන්සලේ වහල ගලවලා තාම තෙමි තෙමි තියෙනවා ,Neg
මං ඔයාගේ cover video එකක් බලුව fb එකේ කලකට කලින් හරිම ලස්සනයි ,Pos
ඉතින් gadget mania ,Neu
නගහ නන්ද මහත්තයෝ අපි ඔබ සමයි ,Pos
මරු මරු මරුයි ලස්සනටම කිව්වා ඉදිරියටම යන්න ,Pos
trending එනවා අනිවා program එක බලන්න කලින් like කරපු අය මේ පැත්තට එමු බලන්න ,Pos
සතුටුයි හැබැයි අවසානේ දුක හිතුනා muslim එකියක් බෙදාගන්නවා කියුවා නේ උ ලබන මාසෙන් පස්සේ භාවනා වැඩසටහන් කරාවි ,Neu
ඇයි කුණු වැඩ කරන්නේ ලජ්ජා නැති ගෑණි ,Neg
පුතා බල්ලා අපිව කෙව්වට අපි බල්ලාව කන්නේ නෑ ,Neg
මේක නම් පිස්සුවක් අයියා ,Pos
කටහඬත් ලස්සනයි ඇයත් ලස්සනයි ,Pos
වෙසියෝ මුල අමතක කරනවා ,Neg
මොන සිංහයාවුනත් වැඩක් නෑ ප්‍රායෝගිකව හිතන්න බැරි නම් ,Neg
හරි ලස්සනයි දුක හිතුනවා ,Pos
හදවතින්ම ආදරෙයි සමරසිංහ මහත්තයනි ,Pos
voice එක පට්ට ,Pos
අන්තිම ටිකේදි ඇහැට කඳුලක් ආවා wish you all the very best මල්ලී ,Pos
ඒ සින්දුව අහන අය කො ,Pos
හොහො හදවතක් තියෙනවා අන්න දේශපාලනට හම්බන්තොට අපි බලන් එන්නවා රෝහිත dear ,Pos
කොච්චර හිනා වෙලා හිටියත් එයාත් ඒ story එක මාරම දුක් කතාවක් ,Pos
announcer හෙන ලොකු කමක් වගේ set නෑ down to earth නෑ කියන්න අපි අහනවා case ,Neg
අම්මෝ ඒ කටහඬ පට්ට ලස්සනයි ,Pos
සමහර උන්ට මුන් නිකන් අහරෙනවා ඔයිට වඩා අඩුපාඩු තියන අයට මුන් හැරෙනවා අනේ මන්දා ,Neu
ගොඩක් හොඳයි අවබෝධයක් තියනවා ඔයාට ,Pos
ඔයා විදිහට හැම එකේම prices දාන්න එල ,Pos
මේක ලංකාවේ තියන හොඳම band එක කියන අය මේ කොනට ,Pos
කවුද බොල unlike කරපු කෙරි කුණු හම්බයෝ ,Neg
ඒ කොල්ල කරපු වැඩේ ඒ තරම් හොඳ දෙයක් නෙමෙයි කියන කට්ටිය ,Neg
ඇත්තටම කෙලින් කතා කරනවා ලමයි හදන්න බෑ කියලා කෙලින්ම කියනවා වෙන උන් වගේ නෑ සුපිරි චරිතයක් බොරු show නෑ ,Pos
ඒ voice එක මරු සුභ පැතුම් අක්කේ ,Pos
අයියේ ඡන්දේ ඉල්ලපන් අපි ඔක්කොම ඉන්නවා ,Pos
නියමයි අයියා ඔයාට මං මාර කැමති ඔයාගේ කතාවට ,Pos
ඇයි හමුදුරුවනේ අනූන්ගේ දේවල්ම කතා කරන්නේ ,Neg
කසුන් කොර උනා මං හිතන්නේ ශෂිකාගේ performance වලට ,Pos
සුපිරි සුපිරි thanks අයියේ පටන් ගත්තට ,Pos
දිස්නා අක්කයි අරවින්ද අයියාවයි දෙන්නම එකට තියලා interview එකක් කළා නම් superb ,Neu
well done sweet baby ජයවේවා හොඳට channel එක කරනවා ,Pos
අනේ දෙවියනේ ඔබ වහන්සේට ගොඩක් පින් අහිංසක සත්වු දිහා බලුවට ,Pos
රාජපක්ෂ family එක ගොඩක් හොඳයි but වෙනම මේ හැර වෙන අලුත් කෙනෙක් ආව නම් ලංකාවට හොඳයි ,Pos
චමල් නාකියා පාර්ලිමේන්තුවේ එක කතාවක් කරලා තියෙනවද රටට ජාතියට වැදගත් ,Neg
පෙම් බැඳීමි හදවතින් ,Pos
මල්ටි බෙරල් එකක්ද මේ ,Neu
ශෂිකාව කපන්න ගිහින් බතියාගේ මුහුණ අන්තිමට ,Neu
හාමුදුරුවනේ අපි ඔය නපුංසක රංජට හොඳ punishment එකක් දෙන්නම් ,Neg
මම හදවතින්ම ආදරේ කරන හවතේ සමදා ඉන්න ආදර්ශමත් සහෝදරියක් ඔයා හැමදාම මමනම් ඔයාට ආදරෙයි අම්මා යන අරුත්බර වචනයේ සබා සරූපය ඉටුකරන දිරිය ගැහැණියක් ,Pos
සිරාවටම සුපිරි පොරක් ,Pos
මේවැනි battle මේවැනි සින්දු ,Pos
ලස්සනයි සින්දුවයි video එකයි දෙකම ඔවා කොල්ලන්ට කෙල්ලන්ට හොඳ පාඩමක් ,Pos
අයියේ අයියා ගැන video එකක් interview එකක් කරන්නකෝ ,Neu
coachesලා දෙන moral එක හදන්න try කරන විදිහ මරු ,Pos
මනුස්සකම දන්න ඔබ වැනි කාන්තාවන්ට කවදාවත්ම වැරදෙන්නේ නෑ මං හරිම ආස නිළියක් ,Pos
schoolේ අපේ කෙනෙක් නේ මේයා ,Neu
මං කාලෙකට කලින් බලාපොරොත්තු උන video එකක් ,Pos
ඔබට තෙරුවන් සරණයි ,Pos
අපේ කොල්ලෙක් දැන් එල ,Pos
ඇත්තටම කටහඬෙන් හිතන්න බැහැ පෙනුම ඔයා වගේ කියලා ,Pos
ඉනුක මල්ලීට apex legends tip එකක් දුවනකොට weapon එක අයින් කරලා දුවන්න speed එක වැඩි ,Neu
පට්ට ආ නියමයි ඉස්සරහට හොඳ වැඩක් කරන්න good luck ,Pos
අපේ හමුදුරුවනේ අපේ ආගම අපේ ජාතිය අපේ රට රැක ගන්න පිනට පහලවුණු යතිවරයෙක් ඔබ වහන්සේ ඔබ වහන්සේට තෙරුවන් සරණයි ,Pos
song එක වගේම ඔයත් හරිම ලස්සනයි ආදරෙයි ගොඩක් ,Pos
ඔයාට හොඳ අනාගතයක් තියෙනවා නංගි කවදාහරි හිනාවෙයි අයලාට ඕන මෙලෝ රහක් නැති අය ,Neg
තෙරුවන් සරණයි අපේ හමුදුරුවනේ හරිටම හරි ඔබ වහන්සේගේ මතයට අපි එකඟයි ,Pos
ස්ටෙෆනි වගේ කෙනෙක් නියමයි ,Pos
මගේ ආසම ගමක් ,Pos
අනේ මාවත් subscribe කරන්න plz ,Neu
කුමාරි ඔයා හරි ධෛර්යවන්තයි සැලෙන්න එපා ඔයා දිනාගෙන ඉවරයි ජේසු පිහිටයි ඔයාට කල්පනාවෙන් ජීවත් වෙන්න ,Pos
සිංහල උන් අපේ අයගෙන් වැඩි දෙනෙක් ජාතිවාදීව හිටන්නේ නැති එක ගැන සතුටුයි ,Pos
පිස්සු හැදෙනවා ඔයාගේ කතාව කොච්චර දුක් විඳලාද අම්මෝ පට්ට ආතල් පොරක් ,Pos
මං කවදාවත් ඔයාට දොස් කියුවේ නෑ ඔයා හරි ශක්තිමත් හෙතක් ඇති කෙනෙක් ඔයාට බුදුසරණයි ,Pos
ප්‍රශ්නයක් නම් තිබ්බා fb වල හැබැයි එක තිබ්බේ minute we are technically fixing ,Neu
මුට තමයි බෝම්බ දාන්න ඕන ,Neg
බ්‍රෝ ඒවත් අහන්න කොල්ලෝ උස්සපු අර ගැණියෙක්ගේ පලු එරපුව ,Neg
වාව් මාර voice එකක් ,Pos
හරිම ලස්සනයි අයියා dont give up ,Pos
අයියේ මං බඩ උනා කියුවේ උබලයි අම්මද ,Neg
පව් අනේ voice එක ලස්සනයි ,Neu
ඉවසීමෙන් යන ගමනක් මම ඒ වචන ටිකට ගරු කරනවා වස්ති ,Pos
අපේ හමුදුරුවනේ එකට මූගේ හක්ක පයින්න ගහන්නකෝ මොනවද මේ කරන්නේ ඒ සිද්ධිය හම්බකරගෙන කනවා ,Neg
voice tone එක ලස්සනයි එත් මගේ ආසම song එකක් කාවා ,Neg
මං කවුද බන් පිස්සු හ ,Neg
වෙන එවුන් තමන්ගේ අම්මා තාත්තාගේ සිංදුවක් කිව්වම නඩු දාන්න යනවා එත් කසුන් thankz කලා respect ,Pos
හැමදාමත් සතුටින් පරිස්සමෙන් ඉන්න අයියේ wish you all the best ,Pos
apex ගහ ගන්න තිබ්බානම් ඇති ,Neu
මම ආසම මනුස්සයෙක් කියන දේ හොඳට තේරෙනවා ,Pos
ඔබ නිහතමානි ඔබ සුහදශීලී ඔබේ වචනේ ,Pos
ඔව් අපේ හමුදුරුවනේ බය නැතුව කතා කරන අය ඔබ වහන්සේලාට ,Pos
තෙරුවන් සරණයි අපේ පොඩි හමුදුරුවන්ත ,Pos
advertisements ටිකක් වැඩියි වගේ ,Neg
unlimited internet ගැන පුළුවන් නම් video එකක් කරන්න ,Neu
ඒ පට්ටයි ඔබේ කතාව පැහැදිලි ,Pos
video එක ලස්සනයි ,Pos
comment බලපන් චාල උඹ දිනාලා ඉවරයි ,Pos
free games download කරන්නේ කොහොමද ,Neu
පිස්සුවෙන් වගේ ආවොත් මේක බලනවා ,Pos
එක හුස්මට බලපු youtube video එකක් ,Pos
අදේ මං හිතුවේ නංගි කියලා ,Neu
gaming වලට pc එකක් හදුවොත් මොනවාගෙද parts ,Neu
ලොකු ආදර්ශයක් සමාජයට ,Pos
bass ගහන එකාගේ අච්චිට ,Neg
කස්ස එකක් ආසයි පොඩ්ඩක් set වෙන්න ,Pos
උබලට මතකද විජය කුමාරතුංගටත් jr දුන්න දසාව ,Neg
දුකයි අයියේ අපේ රට ගැන ,Neg
අන්තිම වචන ටික පට්ට ,Pos
very high play කරන්න නම් මොනවද ඕන ,Neu
අයියත් සිංදුවක් කරන්නකෝ ,Neu
මේකෙන් online වැඩ කරන්න පුළුවන්ද ,Neu
මට නම් මේ කෙල්ලගේ voice ලස්සනයි ශෂිකට වඩා ,Pos
මදු වගේ ගොන් හරකෙක්ගෙන් වෙන උන එක හොඳයි ,Neg
හැමදාම aim එකක්ම videos ගෙනන්න ,Pos
මේක අහද්දී ඇඟේ රෝම කෙලින් උනා ,Pos
තඩියා ටිකක් ගහලත් වගේ ,Neu
කඳුළුත් ආවා එකටනම් ,Pos
අයියේ සිංදුව හොඳයි ,Pos
පට්ට සිංදුව මල්ලි ඔයා හොඳයි ,Neu
මාරම ලස්සන ගායනයක් ,Pos
යොහානි වගේ කෙනෙක් මේකේ දැක්කේ මම විතරද ,Neu
කියන්න සෙබා චරිතයක් ,Pos
sound proof ගැන හැමදේම දැනගන්න ආසයි ,Pos
song එක නම් හොඳයි but video එක චාටර් ,Neu
අපේ මිනිස්සුන්ට අපේ දේ වටින්නේ නැති උනත් පිටරටට වටිනවා ,Neu
මඩකලපුවේ police දෙනවා අමානුෂික විදිහට මරලා තියෙන්නේ ,Neg
අයියේ මං mining කරනවා bitcoin ,Neu
unlimited දුන්නට aniwa fup add කරයි ,Neg
අයියේ හරිම ලස්සනයි කටහඬ ,Pos
amen thank you jesus ,Pos
ඇත්ත මොකද්ද බොරු මොකද්ද ,Neg
ඔක්කොමත් හරි උමාරියාගේ බොරු සෝබන ,Neg
හමුදුරුවනේ අරින්න කතා බුදුසරණයි ,Pos
ලස්සනට කිව්වා ආසයි ආදරෙයි ,Pos
අයියේ contact number එකක් නැද්ද whatsapp ,Neu
coachලා හුවක් කිව්වත් ලස්සනයි joke එකක් ,Pos
අයියා pc ac current වැඩ කරන්න හදන්නේ ,Neu
ගොඩක් බුද්ධිමත් කෙනෙක් ,Neu
කරපු හොඳම program එක තමයි මේ ,Pos
නියමයි තිමෝ ගොඩක් සතුටුයි ,Pos
කොල්ල මහ පණ්ඩිතයෙක් ,Pos
නියමයි බන් පොඩි මිනිස්සු ගැන කතා කළාට ,Pos
අනිවාරෙන් අපේ හමුදුරුවනේ අපි එකගයි ,Pos
ඒවුණත් privacy එකට ප්‍රශ්නයක් වෙයිනේ ,Neg
අනේ මේ song එක download කරන්න බැ ,Neg
ඔන්න දාලා විනාඩි දෙකෙන් බැලුවා ,Pos
මේක කරනකොට full pc එකට කීයද ගියා ,Neu
hari tv thumbnail එකෙන් ප්‍රශ්නයක් වෙන්න පුළුවන් ,Neg
මං ගියින්නෑ කවදාවත් එත් Negombo ගැන හිතනවා ,Neu
සම්පූර්ණ ඇත්ත ලංකාවේ පිරිමි ගැන ,Neg
කියන්න වචන නෑ දුවේ ඔයා ලස්සනයි ,Pos
cl number එකක් දෙන්න පුළුවන්ද bitcoin ගැන ,Neu
සුපිරි ප්‍රියා අයියේ thanks ,Pos
බන්දුල විජේවීර වගේමයි ,Pos
අයියේ bitcoin withdrawal video එකක් ගන්නකෝ ,Pos
මෙන්න නියම ගැහැණියක් ,Pos
හෙන හතම ගහනවා ඔවුන්ට ,Neg
කසුන්ගේ voice තමයි wow ,Pos
මේ kinglsey මේකට හරි යන්නේ නෑ ,Neg
රංජන්ට අපිත් කැමති ,Neu
ආදරෙයි මම ආසම නිළියක් ,Pos
කියන්න වචන එන්නේ නෑ නියමයි ,Pos
super සුභම සුභ අනාගතයක් වේවා ,Pos
coach කසුන් දිනනද මන්දා ,Pos
කියන්න වචන නෑ පුදුම ලස්සනයි ,Pos
මලීෂාගේ නංගි නේද මේක ,Neu
මම laptop එකෙන් minute video එකක් හැදුවා ,Pos
කියන්න නම් දෙයක් නෑ ,Neu
first time youtube interview එකක් බැලුවේ ,Neu
මං නම් කියන්නේ මේ වගේ ගොන් වැඩ form කරන්න එපා ,Neg
million වෙන්න ඇති නේ ,Neu
ඇත්තටම ආඩම්බරයි අයියේ ඔයා ගැන ,Pos
හොඳ කෙනෙක් ගෙනලා thanks ,Pos
අනුෂකා සුපිරි බුදුසරණයි ජය වේවා ,Pos
මේ අක්කා එක්ක ආව අයියා දිහා බලන් හිටපු අය ,Pos
අයි බන් මේ සිංහල අපිටම මෙහෙම වෙන්නේ ,Neg
ජීවිතේට වටින කතාවක් ,Pos
අයියේ මේකේ full budget එක කීයද ,Neu
hari tv එක දැන් නියම කට්ටිය ගෙනාව ,Pos
aws එකට වඩා ලාභද ,Neu
