Comments,Sentiment
me karanne rathana himige film akata rply akak ape sangarathnaya dan dan rate deshalana itho wela inne ,Neg
kasun putuwe awulk tiyenwa neththm miniha wena lokked mnda inne,Neg
oya denna witharak nemeii ma pannanna ona ranil maithree sajith mahinda gotabaya chamal besil jvp athulu okkoma kalakanni pannamu munn okkoma ,Neg
hoda gaming tab ekak kiyannako,Neu
ai me ape lankawe minissu ape ayathama mada gahanne kawadawat muslim thamil cristiyani agame aya me wage nhe sinhala minissu vitarai me mada gahanne,Neg
mama watakak baluwa,Pos
 sirata api adari,Pos
gehan asama charithayak jaya wewa,Pos
build eke cost eka keeyada,Neu
assistant patta aiye,Pos
podi kenage athal eka balahanko,Pos
ada umariyath shashikath kethai,Neg
jathith lankawenam noipadewaa bauddayek wela wena rataka ipadewaa,Neg
suba anagatayak duwa,Pos
ane jagath sirwa dakkama godak sathutu hithuna sirge duwa godaak lassanai nangi katahada idiriyatama yanna lebenna oona,Pos
as kadhulen themee giya ape hamudurwane,Pos
sashika uresha kiyanne ape supper singers,Pos
mama godak garu karanawa me waga sahodarinta atta kata karanajeevite hama abiyogakma jaya gannawa ada hoda adarsamath kenak nangi obata budu saranai,Pos
malli janadiapahiwarayata ellanna apu uba wage eun hodaie,Pos
dulaj ubata mn mara kematei bn patta adarei bn uba mn wge gati guna tiyena kenek matath thadiya kyala tamai kyanne,Pos
woow marama lasanayi shoyi ane ,Pos
attamai kumare akka mama hamadama oyata kami oyaga jivita hama dama satutin inna akka oyaga hita hodai waradenna na ,Pos
aththatama obanam supiri manussayek agamakma tamai,Pos
uba patta waddek me ratata sampathak uba gana kiyanna wachana na good luck,Pos
mage aseme song eke soo nice,Pos
aniwaren meka trending thamai ,Pos
jaya api oba samaga rallak hadal rata hadamu,Pos
me babawa thotillata yawanne maha mathi wereneyedi,Neg
ahthatama kamathi widihata thora ganna ba mokada ehema wunoth kattiya samanawa bedenne na ha ha ha,Neu
ape sri lankawe ahinsakavi nisansala supire me gayumat ,Pos
parliment eke gonnuma muta gon ranja kiyanawa ethakota mu kochchara loku gonekda ehema gona mole athi kathawak kiyaida muge kata newei mole thiyana thana hoyala ethana thalanna ona,Neg
kumari akka sindu kiyana nisa marichcha amma avith dorata gahaga kiyanne sindi kiyanna epa kiyala,Neg
shashika kolayak balan kiyawanne,Neg
voice ekata harima kemathie ,Pos
pichin prashna thibbe meyata witharada aparade hadala ganna thibuna hoda hadak,Neu
oba wahansela peramuna gathayuthu welawai ape  rata bara gamumeka ape sinhala rata,Pos
 ado eka athal bathiyage muna owl wuna ekaparatama coach shashika kiyanakota ,Neu
me sakkili jaathiwadeen bidala damme uba wani dariwange hadawathai,Pos
kalekata passe godaak lassana song ekak nathasha,Pos
gehan bloc ela kollek,Pos
me inna artisla serama niyamai kasun kalhara kale watina deyak ada waraduna kena next time hondata karawi hithanawa ketiyenma kiuwoth oyala niyama artisla ,Pos
digatama yamu onadeyak ape innawa,Pos
  api akatuwala me wahab wadayai antawadayai sri lankawen turan karanna one,Neu
sahallu lassana hinawa all the best,Pos
dhammika perera genalla vedio ekak karata wada muge chat eken sahenna ganna dewal thiyanwa suba pathum,Pos
hithe wairayen katha karanna apa papuwa palei,Neg
gehan aiya wage english katha karanna puluwan unoth echcharay,Pos
palakayo rata hadanne ne eyala hadanakam balan hitiyot apen passe param parawata sinhala ratak netiwei ,Neu
asadaranayak una wage danuna,Neg
ane manda me programme eka witharak video eka nobalaa ahuwa ara is the voice,Pos
anee aththamaii lasana song akak akkiyoo oya godaak lasanaaii good luck,Pos
mn asama niliyakane kawada hari selfi ekk ganna thibunanam a athi adarei akki godakk ,Pos
niyamai niyamai voice harima lassanai,Pos
anee gehan aiya,Neu
wow voice teens eke ayashma thathsarani wa mathak una aya ko ,Neu
ammo man goodk asama charithayak,Pos
 aiya program eka lassanata karanawa dino aiyawath intreview karanna,Pos
pasu thawenna epa aiye ek trgyk vitharai hadawathinma suba pathanw,Pos
aiye igena gana nam asai medewal mhm dakina kota e wageme oya wagee bild ekak matama hdanati hinayak tiye,Pos
hoda wada sathanak good,Pos
iyyaa mehamath sinduvak mona jaravakda mee,Neg
aiye matath build akak hadaganna one gaming aiye,Neu
 aiye ft hoda manussyek ,Pos
digatama phone rewiwe karamu aiye patt,Pos
lankawe godak aya uppannetane bauddagama me wage minissu thamai niyama baudda,Neg
oya thama charithaya aiye goodluck bro great mind,Pos
harima lassanai  u puduma hithenawa,Pos
uba kiyanna thiyana de kelinma kiuwa,Pos
 umaria menn wanda kasun kiynkm kata piya gena innako,Neg
supirii adaraniya shouriyage adahas teruwan saranai oba depalata,Pos
wasthi ekka kawda tharaha api tharaha na aiye respect ,Pos
ha haa boruwalin minissu rawattana maewagae moda jathiwadayoo lankawata aepa moda boru karaya,Neg
giriya kadagena kadden hari wedi basawen hari kiwwanan herey,Neg
piyatuma hari ape katolika aya marila hari inna minimaruwo ahuwenwa amen,Neu
oba wage aya tama me ratata awashyai,Pos
redmi eke balana set eka,Pos
sasangila godak innawane ,Neu
meka tamay jathi wadhi awussenna pora ,Neg
mage jivithe wetunu hema thenakadima methumage video beluwa godak godak mam respect karanawa jivithe therum aran goda anna oba loku pituwahalak unagodak pin kiyanna wachana ne respect wow supper ftta budu saranai,Pos
yako a manussaya amirican pp tibunata a manussayage ange duwanne sinha le anna aka hithanna,Neu
kasun kalhara ayye oya wenuwen voice balna klenek mn thank you your fan,Pos
hemadath reta oyage sinduwak balanawa obe hada hareema mihiriyi,Pos
ado mekath pattama performance ekak denama patta steal scene eka niyamai ,Pos
budu saranai ape bamuduruwane,Pos
mahindata nemei werdune obatai modaya,Neg
ay ayye gigabyte boards wala price eka asus walata wada adu wenne components wala quality eke wensak tiyeda,Neu
kohoma unath lankawe naruma desapaluwo balagena inne oya case aken hari badumila wedikaranna,Neg
pisso form karanna epa mewa balala me rate gonnu nomaga yanawa oya yaka thanikarama pissu yakek,Neg
mokata gannwada mnda minssunta witharak nami ubatai uth katha kara opadupne bn,Neg
wtf mun guli kaalada yako kollo sinduwak gahapan aniwa voice aka raththaran,Neg
ammoo shashika nisansala nam pissuwak e voice eka,Pos
amma demala thaatha sinhala wife muslim,Neu
meya shashikage kawru hari,Pos
godak sanutui akke ape sakkili minisu koyana de ganan ganna epa godak sanutui,Neu
man bayauna kauruth harennathi weido kiyla ane sathutui hodama couch la denna haruna congratulations malli ,Pos
patama lasnaii all the best ,Pos
coach kasunge set eke pattama bulet tikak inne supiri gemak dei issarahata,Pos
me coaches hitan inna munta witaral sindu kiywanna puluwan kiyala,Neg
harida kiynna dnne nha the sailor wa gennanna pluwannam hondai me wage wedagath interview ekakata,Pos
hoda amma kanak,Pos
math hadanwa dawasaka supiirii,Pos
adarei godak akke mamath cyprus vala inne oyata suba anagathayak veva,Pos
aiye royal bilud eka danna ko,Neu
youtubersla set eka ekathu wela hoda channel ekk hadala dennako me kumari akkata,Neu
niyamai irag oya unp ponnayanta ridei bs,Neu
kauru monw kiuwath me sinduwta mm asai godariyak lassanai ammo,Pos
theruwan saranai ape hamuduruwanta,Pos
mama asama kenek oyage hama video ekakma balanawa e wagema aiyata thanx,Pos
wadakata athi deyak karanna hamuduruwane ballo burana gane nawathi nawathi unta gal gahanna giyoth hamuduwange gamana yanna wenne naha,Neg
ane gamyawa bandinna tibunanam shork,Pos
api enawa bella giyat,Pos
oyage katahada ahaddi hamadema amathaka wenawa devduwakage katahada me wage wennathi manikak oyae tharam mata danunu voice ekak mama aththatama ahala na,Pos
waradila na wayi oya dinum niyam kantawak ,Pos
man godak garu karana hari nihatamani pudgalayak ,Pos
oyala denna dagena inna shapathtu denna maru kara grenada dagena inne eka dakke mama vitaradha,Neu
supiri stream build eka,Pos
anthimatama dipu wadana masuran yako,Pos
ranjan kata wahagena hitapiya,Neg
ko parliament ekedee sadde dan nane,Neg
aluth video ekk onamai,Neu
saranga danna thibbe kingliy wenuwata,Neu
obthuma dan wisrama eka thamai harma de gawrawayen nam atha teruwan saranai obata,Pos
ape kale niliyak gena aadambaray oya gena,Pos
oya rata gana hithanna bari un aniwa kalawam jathiyak,Neg
hiru star gobbayonta voice set wenne na ,Neg
dapugaman awafirst comment,Pos
mama mula edanna anshka gena dannawa oya tv chenal walata dennenna wedak karapu mulma charithayak,Pos
ekatanm comment ekk noda yanna lobai e taram lassani duat eka,Pos
mona magulak ahawwada manda udenma thuk nodekin mewea,Neg
uba wenuwen comm ekak daana mulna wathawa mea uba niyama manussayek wela wage penuna nisaaka arthanwitha karaganna eka ube deyakjaya wewa,Neu
jothi mahathaya hitiyanm,Neu
oya ilage para gedara,Neg
obawahanse kiyana dewal saththyai,Pos
man mata epa wenakan ahanawoo,Pos
singhala api medapara jathihithaisi palakayan parlimenthuwata yawanna sudanan karamu,Neu
voice akta hoda katahadak maga arunada mnda ,Neu
eththa oba kiuwe kaurutha mas kanne ne mama eka dannaw oba hari,Pos
supiri charithayak mama kamathi nivedakayek,Pos
man kalhara nisa voice aka thanks sirasa kasunwa thora gaththa tame cochlata kauruwath wachanayak kiyan ne lucky sirasa,Pos
allah hitiyoth bella kapanawa newei eyalata merunoth thiyanawa vidinda,Neu
ratata loketa hoda nirmanayak karanam uba ussanneth ne mehema gon athal denna oneth ne,Neg
meyata lankawe janadhipathi wenna qwanam hariyatama hari,Neu
redmi phones ganna epa signal wage thiyanawa,Neg
mihindu ariyarathna ge thawath athmayak bn,Neu
haria wadakgath katha bahakmata akkita katha karanna asai,Pos
wasthi idiriyatama yanna praththna karanawa budusaranai,Pos
ranja nisai baluwe wena ekekwath wedak na,Pos
podieka nm maru hema video ekakatama nangi baba wa ekkan enna,Pos
Neu weni paratath ahanawoo ,Pos
parliment ektnm gahnnm one thma,Neg
chanux bro ge mask eke depaththa video eke anthima tike sudu pata une khmd,Neu
 wenida koheda kothanada wade wenne danna kenek reply denna,Pos
kanthawak newei dewathawiyak mama oyage wadagath pawathum walata godak adarey,Pos
boru pada shoo danna giyama ohoma venava sinduvak kanna nemei ona kiyannai ona,Neg
sinduwa nam godak lassanai godaak therumak thiyana godaak duka hithena sinduwak good luck,Pos
yako sinduwak kiyapallako apit asai sinduwak ahanna,Neg
mage kamathi ma niliya oya gana harima adamabarai,Pos
ade ape gewal gawa ada mu hoda thanaka issara duppath nahutheta,Pos
aiye adobe softwares wada walatai video edit wage wada walata hoda pc build ek mokakd,Neu
shehange rupe penne mata withrda,Neu
sinhala chanda tika kadanne nathuwa hitang ,Neg
kiyana ratawa wenas unata aththa kiyana manussayeke wagema nihathamani kalakaruwek,Pos
maru aa oyawa sub kara ,Pos
kochchara ahuwath athi wenne na e tharam lassanai me blnne dahaweni paratath wadi athi blpu wara gana mathakath na ,Pos
ayyo eyata gelapenne shasikawa,Neg
lankawenuth illai bara ganak charger akak nehe ne aka nisa,Neu
ai oi aiye me gon genu form krne yko wedagth dyk hoyapanko dyk krhan mongal weda nokara,Neg
harima ahan inna puluwan voice akak ,Pos
gampola kollek adharei machoo,Pos
 karana mehewarata obawahanseta uthum dalada samidu pihitai,Pos
eddi hita satutu karanna bari ganu marunata passe mona dana manada,Neg
mamath pavichchi kara oya phone eka phone ake kisima aulak na signal poddak aul eka hoyaganna puluvan thava hoda phone akak ekka thiyana speedtestsbuy ookla app eken,Pos
man kiuwa witharai damma neda thanks hode,Pos
ape hamaduru oba wahanseta theruwan saranai,Pos
malani bilathsinhala kuliyapitiya gampala bus eka ena kota e bus eka unkal eka digata malaniyage sindu dala thibune ammo eda danuna filing eka namane adatath ethumiya unna nm ,Pos
mara lassana voice ekak niyamai,Pos
mun ekekwath epa me ratata oni aluth kenek,Neg
umaria akkata hoda gammak wey,Pos
niyama kata hada,Pos
balu wade harune nathi ekanm,Neg
lassana akkiyek lassanata sinduwa kiwwa lassana hinawak,Pos
me wage ratata adare rata gana kakkumak tiyana new generation eke kattiya parliament ekata yanawa nam niyamai,Pos
hamuduruwoi ranawiruwoi natthan me rata iwarai,Pos
pawul wadaya lajja nadda bang chamal rajapaksha kiyanne pambayek gotabha rajapaksha kiyanne mineemaruwek ,Neg
aluth adum adan coachla tika niyamai,Pos
mokkd bn me une ,Neu
machan bokka chanayaka ela hode supiri adrei bn,Pos
umaria turn une neththe ei kiyana prashne thiyenne mata witharada,Neu
patta interview eka iwara wena kanma beluwa ela kollek uba,Pos
pawichchi krpu processor ekak aluthen hadana pc ekakata danna puluwnda,Neu
minissu ohoma ma thama kenek success wenawa dakinne kamathi na haters la wadiwela boruwata bana bana athal gannewa,Neu
kinsly rathnayakagen passe man dakka lankawe brand voice eka ,Pos
ikmanta anith ep ekath danna aiya igenaganan godk dewal thyanwa ,Pos
koach shashikage nangi kenek wagee wgemai muna ,Pos
 ai hamotama femas aya vitharak genna ne ai samanya minissunge ada has walata edak nadda,Neg
api ekenma innawa maragana marenna harihadamu sinhala nayakayek ,Pos
mokada bn me adanne,Neg
maru manusayak appa mama hariyata garu karana kanak mama asama kanak obata jaya jaya sir,Pos
boru kiyanda epa hiru niker,Neg
godak watinawa macn me wsge ahinsaka jeewitha nawatha pana gannawata bs,Pos
samithala wage jara genu ekka baladdi kiynne uthum geheniyak amma kiyna wachne arthayenma amma kenek,Pos
guiter ghna sahodaryanm wedek ptta,Pos
me priyadarshana ayye video aka medda wena aya akk kath karanna apa halo,Neg
mu pissu hutthekmeka badu karayamuge thiyenne pudgalika tharahak gotabayath ekka,Neg
ane pala hutto yanna ubawath kauruda meheyawanne kiyala dannawa api ubawa dekkama lankawata kedawath hambawenna munak nemei tiyenne,Neg
steal karanneth buzzer eka gahala neda,Neu
nodakin akale me sellam thibbeth ne dekketh ne den thamai maru wenasa yako mewada dewena prashna lankawe,Neg
karapu gonma therimak neda meka ,Neg
pettha giyath aettha kiyana eka thamai hoda,Pos
ela kollek bn uba jaya wewa,Pos
ape hamuduruwo kiyapu katha tika satika athta,Pos
kasunge team eka thamai oyata galapenne e voice ekamai,Pos
meh wage hamburuwanla tmi ona apita api innwa ape agama beraganna,Pos
shoi ane podi eka adare hithenawa dekkama,Pos
mewa wisawasa karane unuth inawane ambo yako squad ekak nada muta mechara sali thiyane muta,Neg
ane ey me ape rate witharak me ayawa kon karanne mama europe wala jewath un ratawalwala me wage ayath ekama mattame weda karanne paw harima ugath kenek ,Neu
man dekapu supirima judje borde eka kuhaka kamak nethi ekinekata garu karana wachanaye parisamaptha arthayenma kalakaruwo,Pos
godak duka hithuna podi hamuduruwanee pinwantha dasunak,Pos
oya mage vayase nelmene mmth oya vagemai mata duvai puthala dannai thindanama hada gaththe thaneyam dan ayala hoda thathve ennava mm godak duk venda daru duka therenne ammata vetharai,Pos
ayyage intro eka nm patta padiri parippu,Pos
niliyo iganagana na naa hamuduruwana eyalagawa lassana na thiyanna,Neg
jivitayata hinawen prasna gana terum karala dena charitayak tension cooreta samanawa redio aken minissunwa hinssawana girawek jayawewa ara,Pos
redmi note pro eken balana mama ,Neu
sinhala ponnayonwa me vesak eke neti karanawa,Neg
e hada harima sanwedi ,Pos
teri diwani kiyanakan hitapu man wage aya innawada,Neu
hodai kathawa habai katinuth katha kara samahara welawata pukenuth katha kara,Neu
aiya oya odai aiiya,Pos
shashika harema ahinsakai man harema asai,Pos
ehema tama karnna oni ape haamuduruwane ohoma kiyana onema kenekuta,Pos
cntent eka hodai habai ads wadi,Neu
shaa mara lassanai anee ,Pos
ane muge ahawal eka,Neg
liyaara banchi aiyaa niyamai,Pos
hesara oita wada hodata sing kala,Neu
 aiyage program aka hemadama blnawa ath ada oya oya sit akta genala thiyenne mn jiwithe asama lassna sundara charithayak ayage kthawa athulen gnna thiyena advice godak thiye ,Pos
kasun karapu wade niyamai sirawatama talented ,Pos
video aka tikak awul at wada hodai,Neu
cover song ekk karapiya,Pos
aiye build eke price eka kiyannako plzz,Neu
perum puragen aa sansare ,Pos
katada mathak une couch dumal ge team eka,Pos
jathiya sri lankika kiyaddi patta mn dakka ekama miniha jathiya sri lankika kiwwa mona kalath naluwek vidihata patta waddek ,Pos
harima adambarai akke oba thumiya gana obe vachanaya hariyatama hari thatta kiyanne pissu natana kenek nemei ,Pos
harima lassanai nangi ,Pos
apoi wayasata nemii wada,Neg
ane ban ublata ekaparatama ratak karanna puluwandha pisso,Neg
niyami oya wagema lassna sindu karnna,Pos
oya horu star giyoth select wei,Neg
oka enakan kochchara balan hitiyada,Pos
bro oya me build ekata recommend hodama gpu eka mokda,Pos
patta oyage english accent ekata gahanna katawath baha,Pos
hesarawa mathak une katada,Neu
nedakin sakkili heththa,Neg
mama hama voice eke video balala thiyanawa namuth plamana coment eka oyata mama dakina widhita oyata thama meke niyama unic voice ekak thiuenne aniwaren me yharagen kapinath music video ekak karanna suba pathanawa,Pos
mehema wenna puluwanda,Neu
sha lassana song eka patta bro,Pos
kawruth honda naha,Neg
ft eya nevers una wewla wewla kiwwe anthimata hodata gatta ,Pos
 ara obata suba gaman adareii bokuu ,Pos
naddhiyaa pattha a wenas wela nee,Pos
harima harawath ahagana inna puluwan buddhimath tharuniyak obata jaya,Pos
ammo patta voice apiwa udeta hinassapu aiya,Pos
 kolan ,Neg
supiri ayye issarhta yanna suba pathanwa ,Pos
budu dahama taram balawath tawath aagamak me loke nehe,Pos
 waradda piliganna hamadeinma ain wenna thaniyama hoda widiyata jiwith wenna me welawe keranna thiyana hodama de ekai nihada wenna,Neg
machan gonnu hariyanne fillti wage gonnunta thama,Neg
idakin heti witharak waire nisa gu wela enne den,Neg
api ubath ekka ,Pos
umaria monahari hoda comment ekak dei kiyala man balagena hitiye ,Neu
mamath merate ipaduna kenek,Neu
sirasa oyalanm maruane me ekkenekvat kapanna epa anee okkoma aya maru anee,Pos
 apita million thibbananm gee vadath karathahaki,Neg
ane kumari akka oyata  hemadaamath oyaata adarei,Pos
lassanai ane sinduwa nathasha akki oyath marama lassanai katahadath lassanai thawa song ekk krnna bs,Pos
muna beluwt voice set ne wagee,Neg
pasbara wa gennako disna akkawa,Neu
rata gena jathiya gena boru kayiwaru nam ghanawa madumadawa kochchara hoda nona kenekda,Neg
kiyana awa borut newei,Pos
mey program eka dream ekak,Pos
amuwenma ktha krnawa respect ,Pos
welgama manussauyawa epama una jara mimihek dan,Neg
kasun kalhara kiyanne marama marama porak,Pos
mm godak asa godak garu karana manussayek,Pos
ada kale sanwara nathi sasanaya winasa karana sanghaya innawa ma daka thibenawa usawi wala waradi karuwan wela thibenawa ada kale sanghya gana thiyenne prehelikawak,Neg
thiththa aththa kiuwe kumari akka oyata jayawewa,Pos
me rata ta watina pudgalayek,Pos
alla hitiyanam munge bella kapanawa correct sadu kiyapu ewa okkama hari oyata bs dp sadu,Neu
ammai duwai wage,Neu
mun dennama epaa pal horu mininaruwoo,Neg
ane aiya babawa anith vedio waltath gennkoo,Pos
monada me mun kiyana katha ehenam song eka wenas karalada e kolla kiuwe,Neg
amuwen bath katak gilapan nangi next round eddi wachana ai basa basa gaalaa ,Neu
e voice eka nm tanikarma pissuwak ,Pos
maha loku wadak kara wage ahinsaka ballekta gassuwata thamnatath kawadahari oya dewal walata windawanna wei gonjo hari loku wadak karala wage kiyawanne,Neg
oba tumatath financial problemda eka dawase wihiluwada nattam apiwa wihiluwak welada ,Neg
obata budu sarnai suba gamnk,Pos
man asama song ekak ,Pos
hithapalla sinhalini mun tamai me siyalu aparada walata waga kiyanna one,Neu
ublata apita terena danena dewal ape rate pake palakaynta terenne nh,Neg
 niyama sri lankan kollek ,Pos
kawru kohoma kiwwath api adarei wasthi,Pos
gon ranja sakkiliya bawddayek newi,Neg
pich out yanawa godak ,Neg
perfect hoda amma knk knk ta ganna pulwn knk akki,Pos
wow voice ekai penumai dekama mihidu wage,Pos
huawei ya eke revive ekak ona,Neu
hiru star hitiya neda,Neu
atal eke inna porak tamai,Pos
ara kolla kapuwe aparadene rvous nervous kiyl meyta haruna,Neg
niyamai apee hamuduruwanw api obawahanse samaga,Pos
marama lassanai akkiyo mata oya oke kiyana kathawa mawila pewna akkiyo ,Pos
umariyaage akshan walata kemathi aya koo,Neu
ane glpen nane vedio eka orgnl vedio ekta wada klin tibba vedio lassani mehema giyot homama wardi krla samawa illai a nisa waradi nokrnna hithena sindwk krnna,Neu
ranjanla tawa teka kalayai natanne ape hamuduruwane,Neg
aadithyawa mathak wunaa adithyage song eka thamath ahanawaa adithya kiyanne godak daksha daruwek ,Pos
hamuduru warunta waradi kiyana ekek mu,Neg
ee biuld eka patta,Pos
meya ara hiru star ekta awa kena neda,Neu
hoya hoya hitiye,Pos
phone gana kiuwa hariyatama hari,Pos
ane deiyanee lankawata wechcha deyak,Neu
hoda dakmak sahaitha athal porak jayaweawa mithraya,Pos
uba hoda tama kiuwa,Pos
mekanam pissuwak ban arjuna ranil hiran and nangi wow maara pawulak,Pos
ane hodai me wage ayata thena dena aeka api godak kemathi god bless akke,Pos
puduma wedagath katha bahak,Pos
eththma kiwoth mn video eka baluwe na ahuwa witharay elama,Pos
kollawa band ekakata niyameta match wenawa,Pos
school eke meeting eke mulinma sinduwak qwa eun innawada,Neu
bumige no ak ndd,Neu
contac kara ganna oni,Neu
paw anee hri ahinsaki ,Pos
gotha keri amilaya,Neg
meke ayth ubalata ona huttawal karanna ba wadiy dagaluwoth unta wena de un danneth na hamoma sinhalayata sahayogayen inna,Neg
dn ubw thruna ubt chande na nakiyo thmnge agmt adare nthi eka mona ratata adrykda,Neg
akkige kathaw ahan inna taram maraii akki ,Pos
 oya oye ivesillen inne niyemay,Pos
maarai ma me ledy va dekala ne namuth ma kaalekin dekka hondama interview eka ma meka mage duvalatath send kala suba pathum dennata meyata gelapena nama sathya,Pos
ada davase supirima performance eka matanm ,Pos
chanux bro nama save karala thibbeth wasthi thadiya kiyala,Neu
kiyawanawa wadi ane walwataram,Neg
ado shshika oya mewa dane kohomada ,Pos
admin hoda welane ,Pos
diriya shakthiya thibenawannam thaniyen jeewitheta mmuhuna denna puluwan akke oyage wagakima duwata ehema nowenna jeewithe kiyala dena gaman jeewath wenna akke ,Pos
kohomada meka amathaka karanne ,Neu
ape hamuduruwane a niliya kohomat mongall neda oba wahansheta budu saranai,Neu
kasun ge team eke kattiya madi nee,Neg
ane pako ko thoge rokat ekka,Neg
kudu memada ghanna kudu me patada,Neu
 thennakon adarshamath mawak e wagema adarshamath kanthawak,Pos
madu madawa badu madawa uu karapu paw lagadima gewanawa,Neg
loku deyak kle lahiru aiye thadiyawa thaniyen gennala patta charithe thadiya athi ohoma hri ktha kalahour tibnm maru goodluck anushkaya hina wenwa athi thniyen,Pos
harima asa charithayak metram ugath buddimat kenek kiyala adai denagate harima satutuimetaka idan blnda gate me wedasatahana good job puluwanam yureni wa genanda,Pos
harema lasanai laheru koi tharangan watina adahasdaa ape sinhalainnta aadarshayak ,Pos
aththamai age hiri gadu pipuna superb,Pos
mepara janapati waraneta bodubala senawin eka nayakayek gennaa,Pos
waww umba patta bro ,Pos
kasun awida awidamai inne dn ,Neu
niyami thadiyoo thanks,Pos
oya waga palakayen me rata palanaya karanam,Pos
aiya meka aiyata pennanna jewitheta scientists kenek genwath ahuwe na anthima prashneta dunnu uththate ,Pos
 harima sathutui ada oya inna thana dakkama api hamoma oyage wadasatahan ahanne godak aasawen mna oyath ekka al class wala ekata igena gatta yaluwek ,Pos
coch la ubala apita paw purawanna nm lasthi wanna epaa mu hodata kiwwanee yakuu ,Neg
hari kenawa thora gaththa good luck bro,Pos
geri thambi okkoma maranna oni,Neg
thada broo onna ohoma thama inna one filti is bad man,Pos
meka nn apit hodaa,Pos
ane aperata wana dawal neda katakaranna me anwassa dawal,Neg
siravatama hithata danenawa aa,Pos
balanna mayaga hadiyawa patta wasi waran chanda illanna apith kolonnawa thamai dan maki hadila waga miniha ponnayak api dannawa,Neg
katahadanm hodata huruicmuna dakkee ada hariyatana ,Neu
yko kora wenna denawa,Pos
me tharan lasene katehade katawath harennahane,Neu
wena namak thibunema nadda appa,Neu
lankawe namak hada ganna puluwan voice ekak,Pos
ratei seba wenasak wenna oni,Neu
noddaking video ekak hada ganan bane ubalata song ekata setwena yako kalin thiba edit ewa hodi sirawata kanagatui man hithuwa,Neg
yako ay yako konde kapuweela ela jabe good luck mchan,Pos
oya nam niyamai oyata supirima awabodayak tiyenava man oyata respect karanava great think,Pos
rohithata hoda buddiyak thiyanawa watinawa sahodaraya oyage kathawa,Pos
umba niyama manussayek aiye wachana naha kiyanna ,Pos
oyata adara hitanawa maga manika,Pos
ynne kohed malle pol,Neg
oba tuma kata karana hama wachanayakma apata rattarn walatat wada watinawa,Pos
amuthu jiwith kathawak godak dewal igena ganna thienawa eke mokada api yudde kale dewal gana godak dannan passene api iwara wenakanma api baluwa harima honda adahas thiena kenek karana dewal sarthaka wewa bsa,Pos
hirustar apu isurika da me ,Neu
lahiru aiya mekata shihan mihirangawa gennako samaharu hina wei me comment ekata eth e charithen minissunta aluth jiwithe dakina kello kollonta ganna dewal godak tiyei,Pos
oya nam gini godak nangiyoo,Pos
hithata wadina sindu menna mewani ,Pos
 kasun sir ta ammawa matak wenna ati,Neu
arawinda aiya dakeema sathutak hoda manussayek aiyata godak sthuthi,Pos
ada nam gdk sathutui kiyaganna ba ekanam a tharam watina ugath manussayekwa genalla title eka dakka gmn hithata apu sathuta kiyaganna ba,Pos
supiri act eka jayawewa niyamai balanna asai one kenekta,Pos
mama rajapaksa paulata pana unath denda innawa mata desapala vedak ne ,Pos
dream star keshan shashindra wagene,Pos
man asama patta waddak,Pos
eelagata rattava gennanna kiyana aya ko,Neu
ade inuka malli wamen gahanne ai dakunen gahana kattiyage keyboard ekak aran dunne paw asaranaya,Neg
okata ohoma karala made rajakala wedeyata dadukada gahanna ona,Neg
 thopi katha karanne lankawe pisso horu ponnayo ganada,Neg
aparade sinduwa lassanai video eka nam ganna deyak na,Neu
mekita pissuda sinhala wachana kanawa ,Neg
wenna behe sri lankikayange rata moda sinhalayage rata nevei ranjan oba hari,Pos
 mamath oyage video godaak baluwa oyata thurunuwan saranai,Pos
aiye api ona dekata innwa oyala ekka ,Pos
ai me wage jara gniyaka ekka wadda satshana karane muna rattama sapayk,Neg
pissu hadunaeka hadata wow marai,Pos
dan rata baraganna kenek naha wage ,Neu
ane peathi paththi thiyanama ganime,Neg
athatama jeewithe jayagathu minisunge ithama katuka athdakeem tiyenawakath kaweuth udawak nathuwa jeewithe jayagana minissu,Neu
niyama dakmak thiye wage,Pos
mama kamathima kenek habai eya kiyapu de hari radio karana kenek thamange muna penvana eka galapimak na aiya oyage voice eka nisa thamai vadasatahane katha karana deval valin apita bannath eka hodata ahagena innava api passe thamai danne mu apita banalane thiyenne kiyala ,Pos
cngrtz banchi ayya lassanai ,Pos
priyadarshana aiyata wada hodata aime build hdnw,Neu
good luck nirodha akke ,Pos
hita haiya gahaniyak oba budusanai,Pos
lassanata kata karanawa obata dirgayusa,Pos
wedagth kathawak meken gdk dewal gatta mn thankuu oyta ,Pos
coach kasun ta supiri kollek hamba una certainly voice of the week,Pos
oya nisa huru eken siyathata maru una minussu api ,Pos
hemooma gobbeyekuta kadee duwana gaman wahalunge rata,Neg
bro uba monade karath me gatta tiranayanam siyat siyak hari,Pos
awanka wadi wunaama piriminta oya wade wenawamai,Pos
me moda chanel mona wada kare yako api enne toilet ,Neg
sashika miss stage ekata eddi stage ekata wanda ,Pos
aiye number eka ewanna oyage i am with you always,Pos
hamme ithim peddith mara sathutak enNeg phn eken nathuwa pc ekenma baluwa full screen dagena,Pos
eka maru ayyae,Pos
 lassanata sinhala katha karanawa,Pos
nago nago song eka kiyana kena wagemai ,Neu
methanam denama fail,Neg
coach shashikata patta amru wenwa team eke aya issrahat yddi patta set ekak inne,Pos
etta dewal godak kiwa mee manussaya aniwaren system change wennama one rata hadannanam tharunayo ennama one ,Pos
